AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
72944,186418,72051,50339,88187,33417,86033,82137,77665,96374,78488,-1,59160,38162,48551,25155,24506,59654,67795,103620,77950,92266,52677,26676,66060,40533,38693,12766,73352,93823,83665,51519,82628,83362,19347,57423,38760,76181,71994,-1,91315,81278,0,60921,54204,52248,92286,81151,69209,71707,32515,26513
15373,241601,88549,21127,115528,69324,55640,43930,38313,39176,21289,-1,108384,27406,21411,39373,45244,16885,32833,75544,40221,62196,38806,59102,18727,26054,98215,54866,116252,65157,49360,65933,50672,30907,75370,26330,38291,120720,44706,-1,59983,24080,60921,0,49274,88301,68313,31211,128729,30235,38841,78312
44558,229961,49156,31045,76683,43713,100084,88374,82757,73345,60846,-1,82729,52669,59098,48177,33624,59701,30533,119989,84665,106640,73067,67568,35570,38594,78391,43159,78133,109602,93805,25085,95117,73431,71878,68581,17821,94981,86958,-1,104427,63618,54204,49274,0,57361,110538,75481,106168,72931,65908,55925
97146,188379,36572,75980,42415,26967,122962,118436,113964,123760,105874,-1,30295,73601,83188,61180,45104,87483,83121,140048,114248,129195,90589,75367,88158,68011,44420,41142,33147,130753,120081,35681,119557,112354,60529,92671,58448,42547,108924,-1,128245,108664,52248,88301,57361,0,128591,109991,53416,100548,78800,29115
76772,265681,143517,82281,166076,109879,15114,29983,32712,80591,68297,-1,144294,60273,54000,69551,91693,55782,95105,18181,30952,12782,47222,80941,80999,72900,125609,90391,153802,8636,24870,120901,20223,47826,100705,43288,93258,156631,28544,-1,16147,58335,92286,68313,110538,128591,0,43105,159869,47551,62881,114645
36803,255946,114996,47574,141974,91280,29094,16564,11234,44655,29680,-1,130340,43681,34568,57396,67200,24758,56644,48784,12854,35435,46039,73446,42538,48010,114618,76822,138209,38397,22611,92380,24091,10204,89714,26787,64738,142677,22932,-1,33223,19501,81151,31211,75481,109991,43105,0,149130,17492,52456,100460
140757,156716,85379,118153,57238,75378,153705,149810,145338,164188,146301,-1,36895,105976,116224,92968,89160,127468,131630,170685,145622,159938,119363,80201,133873,108346,40649,78020,56630,161496,151337,84488,150301,151035,65363,125096,104209,23050,139667,-1,158988,149092,69209,128729,106168,53416,159869,149130,0,139803,100466,55115
40475,246502,109183,44203,136161,81836,33325,23341,18870,50482,35224,-1,120897,34238,25125,47953,57756,15314,58298,53229,19154,39881,36461,64002,44192,38566,105175,67378,128765,42842,27587,86566,28358,21152,80270,17132,58924,133233,19880,-1,37668,25046,71707,30235,72931,100548,47551,17492,139803,0,42911,90915
51193,207165,96871,40289,116286,60089,57050,53154,48683,74300,56413,-1,90327,15102,19550,18550,42615,31117,60043,73696,48967,63283,22763,24666,49735,28917,65838,40502,104012,64841,54682,74255,53645,54361,40934,28441,48628,106840,43011,-1,62332,54327,32515,38841,65908,78800,62881,52456,100466,42911,0,57772
90341,177585,58301,67736,63471,22556,108375,104479,100008,113771,95885,-1,33962,59014,70484,46593,36339,77494,78809,125461,100292,114608,76002,48428,83457,57930,26014,25874,48636,116166,106007,41853,104970,102365,33590,79828,51388,50218,94337,-1,113658,98676,26513,78312,55925,29115,114645,100460,55115,90915,57772,0
