CBSA,FIPS,NAME,LSAD
12940,22007,"Assumption Parish, LA",County or equivalent
12940,22033,"East Baton Rouge Parish, LA",County or equivalent
12940,22037,"East Feliciana Parish, LA",County or equivalent
12940,22047,"Iberville Parish, LA",County or equivalent
12940,22063,"Livingston Parish, LA",County or equivalent
12940,22077,"Pointe Coupee Parish, LA",County or equivalent
12940,22091,"St. Helena Parish, LA",County or equivalent
12940,22121,"West Baton Rouge Parish, LA",County or equivalent
12940,22125,"West Feliciana Parish, LA",County or equivalent
12980,,"Battle Creek, MI",Metropolitan Statistical Area
12980,26025,"Calhoun County, MI",County or equivalent
13020,,"Bay City, MI",Metropolitan Statistical Area
13020,26017,"Bay County, MI",County or equivalent
13140,,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area
13140,48199,"Hardin County, TX",County or equivalent
13140,48245,"Jefferson County, TX",County or equivalent
13140,48361,"Orange County, TX",County or equivalent
13220,,"Beckley, WV",Metropolitan Statistical Area
13220,54019,"Fayette County, WV",County or equivalent
13220,54081,"Raleigh County, WV",County or equivalent
13380,,"Bellingham, WA",Metropolitan Statistical Area
13380,53073,"Whatcom County, WA",County or equivalent
13460,,"Bend, OR",Metropolitan Statistical Area
13460,41017,"Deschutes County, OR",County or equivalent
13740,,"Billings, MT",Metropolitan Statistical Area
13740,30009,"Carbon County, MT",County or equivalent
13740,30095,"Stillwater County, MT",County or equivalent
13740,30111,"Yellowstone County, MT",County or equivalent
13780,,"Binghamton, NY",Metropolitan Statistical Area
13780,36007,"Broome County, NY",County or equivalent
13780,36107,"Tioga County, NY",County or equivalent
13820,,"Birmingham-Hoover, AL",Metropolitan Statistical Area
13820,1007,"Bibb County, AL",County or equivalent
13820,1009,"Blount County, AL",County or equivalent
13820,1021,"Chilton County, AL",County or equivalent
13820,1073,"Jefferson County, AL",County or equivalent
13820,1115,"St. Clair County, AL",County or equivalent
13820,1117,"Shelby County, AL",County or equivalent
13900,,"Bismarck, ND",Metropolitan Statistical Area
13900,38015,"Burleigh County, ND",County or equivalent
13900,38059,"Morton County, ND",County or equivalent
13900,38065,"Oliver County, ND",County or equivalent
13980,,"Blacksburg-Christiansburg, VA",Metropolitan Statistical Area
13980,51071,"Giles County, VA",County or equivalent
13980,51121,"Montgomery County, VA",County or equivalent
13980,51155,"Pulaski County, VA",County or equivalent
13980,51750,"Radford city, VA",County or equivalent
14010,,"Bloomington, IL",Metropolitan Statistical Area
14010,17113,"McLean County, IL",County or equivalent
14020,,"Bloomington, IN",Metropolitan Statistical Area
14020,18105,"Monroe County, IN",County or equivalent
14020,18119,"Owen County, IN",County or equivalent
14100,,"Bloomsburg-Berwick, PA",Metropolitan Statistical Area
14100,42037,"Columbia County, PA",County or equivalent
14100,42093,"Montour County, PA",County or equivalent
14260,,"Boise City, ID",Metropolitan Statistical Area
14260,16001,"Ada County, ID",County or equivalent
14260,16015,"Boise County, ID",County or equivalent
14260,16027,"Canyon County, ID",County or equivalent
14260,16045,"Gem County, ID",County or equivalent
14260,16073,"Owyhee County, ID",County or equivalent
14460,,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area
14460,,"Boston, MA",Metropolitan Division
14460,25021,"Norfolk County, MA",County or equivalent
14460,25023,"Plymouth County, MA",County or equivalent
14460,25025,"Suffolk County, MA",County or equivalent
14460,,"Cambridge-Newton-Framingham, MA",Metropolitan Division
14460,25009,"Essex County, MA",County or equivalent
14460,25017,"Middlesex County, MA",County or equivalent
14460,,"Rockingham County-Strafford County, NH",Metropolitan Division
14460,33015,"Rockingham County, NH",County or equivalent
14460,33017,"Strafford County, NH",County or equivalent
14500,,"Boulder, CO",Metropolitan Statistical Area
14500,8013,"Boulder County, CO",County or equivalent
14540,,"Bowling Green, KY",Metropolitan Statistical Area
14540,21003,"Allen County, KY",County or equivalent
14540,21031,"Butler County, KY",County or equivalent
14540,21061,"Edmonson County, KY",County or equivalent
14540,21227,"Warren County, KY",County or equivalent
14740,,"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area
14740,53035,"Kitsap County, WA",County or equivalent
14860,,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area
14860,9001,"Fairfield County, CT",County or equivalent
15180,,"Brownsville-Harlingen, TX",Metropolitan Statistical Area
15180,48061,"Cameron County, TX",County or equivalent
15260,,"Brunswick, GA",Metropolitan Statistical Area
15260,13025,"Brantley County, GA",County or equivalent
15260,13127,"Glynn County, GA",County or equivalent
15260,13191,"McIntosh County, GA",County or equivalent
15380,,"Buffalo-Cheektowaga, NY",Metropolitan Statistical Area
15380,36029,"Erie County, NY",County or equivalent
15380,36063,"Niagara County, NY",County or equivalent
15500,,"Burlington, NC",Metropolitan Statistical Area
15500,37001,"Alamance County, NC",County or equivalent
15540,,"Burlington-South Burlington, VT",Metropolitan Statistical Area
15540,50007,"Chittenden County, VT",County or equivalent
15540,50011,"Franklin County, VT",County or equivalent
15540,50013,"Grand Isle County, VT",County or equivalent
15680,,"California-Lexington Park, MD",Metropolitan Statistical Area
15680,24037,"St. Mary's County, MD",County or equivalent
15940,,"Canton-Massillon, OH",Metropolitan Statistical Area
15940,39019,"Carroll County, OH",County or equivalent
15940,39151,"Stark County, OH",County or equivalent
15980,,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area
15980,12071,"Lee County, FL",County or equivalent
16020,,"Cape Girardeau, MO-IL",Metropolitan Statistical Area
16020,17003,"Alexander County, IL",County or equivalent
16020,29017,"Bollinger County, MO",County or equivalent
16020,29031,"Cape Girardeau County, MO",County or equivalent
16060,,"Carbondale-Marion, IL",Metropolitan Statistical Area
16060,17077,"Jackson County, IL",County or equivalent
16060,17087,"Johnson County, IL",County or equivalent
16060,17199,"Williamson County, IL",County or equivalent
16180,,"Carson City, NV",Metropolitan Statistical Area
16180,32510,"Carson City, NV",County or equivalent
16220,,"Casper, WY",Metropolitan Statistical Area
16220,56025,"Natrona County, WY",County or equivalent
16300,,"Cedar Rapids, IA",Metropolitan Statistical Area
16300,19011,"Benton County, IA",County or equivalent
16300,19105,"Jones County, IA",County or equivalent
16300,19113,"Linn County, IA",County or equivalent
16540,,"Chambersburg-Waynesboro, PA",Metropolitan Statistical Area
16540,42055,"Franklin County, PA",County or equivalent
16580,,"Champaign-Urbana, IL",Metropolitan Statistical Area
16580,17019,"Champaign County, IL",County or equivalent
16580,17147,"Piatt County, IL",County or equivalent
16620,,"Charleston, WV",Metropolitan Statistical Area
16620,54005,"Boone County, WV",County or equivalent
16620,54015,"Clay County, WV",County or equivalent
16620,54035,"Jackson County, WV",County or equivalent
16620,54039,"Kanawha County, WV",County or equivalent
16620,54043,"Lincoln County, WV",County or equivalent
16700,,"Charleston-North Charleston, SC",Metropolitan Statistical Area
16700,45015,"Berkeley County, SC",County or equivalent
16700,45019,"Charleston County, SC",County or equivalent
16700,45035,"Dorchester County, SC",County or equivalent
16740,,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area
16740,37007,"Anson County, NC",County or equivalent
16740,37025,"Cabarrus County, NC",County or equivalent
16740,37071,"Gaston County, NC",County or equivalent
16740,37097,"Iredell County, NC",County or equivalent
16740,37109,"Lincoln County, NC",County or equivalent
16740,37119,"Mecklenburg County, NC",County or equivalent
16740,37159,"Rowan County, NC",County or equivalent
16740,37179,"Union County, NC",County or equivalent
16740,45023,"Chester County, SC",County or equivalent
16740,45057,"Lancaster County, SC",County or equivalent
16740,45091,"York County, SC",County or equivalent
16820,,"Charlottesville, VA",Metropolitan Statistical Area
16820,51003,"Albemarle County, VA",County or equivalent
16820,51065,"Fluvanna County, VA",County or equivalent
16820,51079,"Greene County, VA",County or equivalent
16820,51125,"Nelson County, VA",County or equivalent
16820,51540,"Charlottesville city, VA",County or equivalent
16860,,"Chattanooga, TN-GA",Metropolitan Statistical Area
16860,13047,"Catoosa County, GA",County or equivalent
16860,13083,"Dade County, GA",County or equivalent
16860,13295,"Walker County, GA",County or equivalent
16860,47065,"Hamilton County, TN",County or equivalent
16860,47115,"Marion County, TN",County or equivalent
16860,47153,"Sequatchie County, TN",County or equivalent
16940,,"Cheyenne, WY",Metropolitan Statistical Area
16940,56021,"Laramie County, WY",County or equivalent
16980,,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area
16980,,"Chicago-Naperville-Evanston, IL",Metropolitan Division
16980,17031,"Cook County, IL",County or equivalent
16980,17043,"DuPage County, IL",County or equivalent
16980,17063,"Grundy County, IL",County or equivalent
16980,17111,"McHenry County, IL",County or equivalent
16980,17197,"Will County, IL",County or equivalent
16980,,"Elgin, IL",Metropolitan Division
16980,17037,"DeKalb County, IL",County or equivalent
16980,17089,"Kane County, IL",County or equivalent
16980,17093,"Kendall County, IL",County or equivalent
16980,,"Gary, IN",Metropolitan Division
16980,18073,"Jasper County, IN",County or equivalent
16980,18089,"Lake County, IN",County or equivalent
16980,18111,"Newton County, IN",County or equivalent
16980,18127,"Porter County, IN",County or equivalent
16980,,"Lake County-Kenosha County, IL-WI",Metropolitan Division
16980,17097,"Lake County, IL",County or equivalent
16980,55059,"Kenosha County, WI",County or equivalent
17020,,"Chico, CA",Metropolitan Statistical Area
17020,6007,"Butte County, CA",County or equivalent
17140,,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area
17140,18029,"Dearborn County, IN",County or equivalent
17140,18047,"Franklin County, IN",County or equivalent
17140,18115,"Ohio County, IN",County or equivalent
17140,18161,"Union County, IN",County or equivalent
17140,21015,"Boone County, KY",County or equivalent
17140,21023,"Bracken County, KY",County or equivalent
17140,21037,"Campbell County, KY",County or equivalent
17140,21077,"Gallatin County, KY",County or equivalent
17140,21081,"Grant County, KY",County or equivalent
17140,21117,"Kenton County, KY",County or equivalent
17140,21191,"Pendleton County, KY",County or equivalent
17140,39015,"Brown County, OH",County or equivalent
17140,39017,"Butler County, OH",County or equivalent
17140,39025,"Clermont County, OH",County or equivalent
17140,39061,"Hamilton County, OH",County or equivalent
17140,39165,"Warren County, OH",County or equivalent
17300,,"Clarksville, TN-KY",Metropolitan Statistical Area
17300,21047,"Christian County, KY",County or equivalent
17300,21221,"Trigg County, KY",County or equivalent
17300,47125,"Montgomery County, TN",County or equivalent
17300,47161,"Stewart County, TN",County or equivalent
17420,,"Cleveland, TN",Metropolitan Statistical Area
17420,47011,"Bradley County, TN",County or equivalent
17420,47139,"Polk County, TN",County or equivalent
17460,,"Cleveland-Elyria, OH",Metropolitan Statistical Area
17460,39035,"Cuyahoga County, OH",County or equivalent
17460,39055,"Geauga County, OH",County or equivalent
17460,39085,"Lake County, OH",County or equivalent
17460,39093,"Lorain County, OH",County or equivalent
17460,39103,"Medina County, OH",County or equivalent
17660,,"Coeur d'Alene, ID",Metropolitan Statistical Area
17660,16055,"Kootenai County, ID",County or equivalent
17780,,"College Station-Bryan, TX",Metropolitan Statistical Area
17780,48041,"Brazos County, TX",County or equivalent
17780,48051,"Burleson County, TX",County or equivalent
17780,48395,"Robertson County, TX",County or equivalent
17820,,"Colorado Springs, CO",Metropolitan Statistical Area
17820,8041,"El Paso County, CO",County or equivalent
17820,8119,"Teller County, CO",County or equivalent
17860,,"Columbia, MO",Metropolitan Statistical Area
17860,29019,"Boone County, MO",County or equivalent
17860,29053,"Cooper County, MO",County or equivalent
17860,29089,"Howard County, MO",County or equivalent
17900,,"Columbia, SC",Metropolitan Statistical Area
17900,45017,"Calhoun County, SC",County or equivalent
17900,45039,"Fairfield County, SC",County or equivalent
17900,45055,"Kershaw County, SC",County or equivalent
17900,45063,"Lexington County, SC",County or equivalent
17900,45079,"Richland County, SC",County or equivalent
17900,45081,"Saluda County, SC",County or equivalent
17980,,"Columbus, GA-AL",Metropolitan Statistical Area
17980,1113,"Russell County, AL",County or equivalent
17980,13053,"Chattahoochee County, GA",County or equivalent
17980,13145,"Harris County, GA",County or equivalent
17980,13197,"Marion County, GA",County or equivalent
17980,13215,"Muscogee County, GA",County or equivalent
17980,13259,"Stewart County, GA",County or equivalent
17980,13263,"Talbot County, GA",County or equivalent
18020,,"Columbus, IN",Metropolitan Statistical Area
18020,18005,"Bartholomew County, IN",County or equivalent
18140,,"Columbus, OH",Metropolitan Statistical Area
18140,39041,"Delaware County, OH",County or equivalent
18140,39045,"Fairfield County, OH",County or equivalent
18140,39049,"Franklin County, OH",County or equivalent
18140,39073,"Hocking County, OH",County or equivalent
18140,39089,"Licking County, OH",County or equivalent
18140,39097,"Madison County, OH",County or equivalent
18140,39117,"Morrow County, OH",County or equivalent
18140,39127,"Perry County, OH",County or equivalent
18140,39129,"Pickaway County, OH",County or equivalent
18140,39159,"Union County, OH",County or equivalent
18580,,"Corpus Christi, TX",Metropolitan Statistical Area
18580,48355,"Nueces County, TX",County or equivalent
18580,48409,"San Patricio County, TX",County or equivalent
18700,,"Corvallis, OR",Metropolitan Statistical Area
18700,41003,"Benton County, OR",County or equivalent
18880,,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area
18880,12091,"Okaloosa County, FL",County or equivalent
18880,12131,"Walton County, FL",County or equivalent
19060,,"Cumberland, MD-WV",Metropolitan Statistical Area
19060,24001,"Allegany County, MD",County or equivalent
19060,54057,"Mineral County, WV",County or equivalent
19100,,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area
19100,,"Dallas-Plano-Irving, TX",Metropolitan Division
19100,48085,"Collin County, TX",County or equivalent
19100,48113,"Dallas County, TX",County or equivalent
19100,48121,"Denton County, TX",County or equivalent
19100,48139,"Ellis County, TX",County or equivalent
19100,48231,"Hunt County, TX",County or equivalent
19100,48257,"Kaufman County, TX",County or equivalent
19100,48397,"Rockwall County, TX",County or equivalent
19100,,"Fort Worth-Arlington-Grapevine, TX",Metropolitan Division
19100,48251,"Johnson County, TX",County or equivalent
19100,48367,"Parker County, TX",County or equivalent
19100,48439,"Tarrant County, TX",County or equivalent
19100,48497,"Wise County, TX",County or equivalent
19140,,"Dalton, GA",Metropolitan Statistical Area
19140,13213,"Murray County, GA",County or equivalent
19140,13313,"Whitfield County, GA",County or equivalent
19180,,"Danville, IL",Metropolitan Statistical Area
19180,17183,"Vermilion County, IL",County or equivalent
19300,,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area
19300,1003,"Baldwin County, AL",County or equivalent
19340,,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area
19340,17073,"Henry County, IL",County or equivalent
19340,17131,"Mercer County, IL",County or equivalent
19340,17161,"Rock Island County, IL",County or equivalent
19340,19163,"Scott County, IA",County or equivalent
19430,,"Dayton-Kettering, OH",Metropolitan Statistical Area
19430,39057,"Greene County, OH",County or equivalent
19430,39109,"Miami County, OH",County or equivalent
19430,39113,"Montgomery County, OH",County or equivalent
19460,,"Decatur, AL",Metropolitan Statistical Area
19460,1079,"Lawrence County, AL",County or equivalent
19460,1103,"Morgan County, AL",County or equivalent
19500,,"Decatur, IL",Metropolitan Statistical Area
19500,17115,"Macon County, IL",County or equivalent
19660,,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area
19660,12035,"Flagler County, FL",County or equivalent
19660,12127,"Volusia County, FL",County or equivalent
19740,,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area
19740,8001,"Adams County, CO",County or equivalent
19740,8005,"Arapahoe County, CO",County or equivalent
19740,8014,"Broomfield County, CO",County or equivalent
19740,8019,"Clear Creek County, CO",County or equivalent
19740,8031,"Denver County, CO",County or equivalent
19740,8035,"Douglas County, CO",County or equivalent
19740,8039,"Elbert County, CO",County or equivalent
19740,8047,"Gilpin County, CO",County or equivalent
19740,8059,"Jefferson County, CO",County or equivalent
19740,8093,"Park County, CO",County or equivalent
19780,,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area
19780,19049,"Dallas County, IA",County or equivalent
19780,19077,"Guthrie County, IA",County or equivalent
19780,19099,"Jasper County, IA",County or equivalent
19780,19121,"Madison County, IA",County or equivalent
19780,19153,"Polk County, IA",County or equivalent
19780,19181,"Warren County, IA",County or equivalent
19820,,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area
19820,,"Detroit-Dearborn-Livonia, MI",Metropolitan Division
