category,code,title,regional_components
Metropolitan Area,14540,"Bowling Green, KY","Edmonson County, KY (21061); Warren County, KY (21227)"
Metropolitan Area,14740,"Bremerton-Silverdale, WA","Kitsap County, WA (53035)"
Metropolitan Area,14860,"Bridgeport-Stamford-Norwalk, CT","Fairfield County, CT (09001)"
Metropolitan Area,15180,"Brownsville-Harlingen, TX","Cameron County, TX (48061)"
Metropolitan Area,15260,"Brunswick, GA","Brantley County, GA (13025); Glynn County, GA (13127); McIntosh County, GA (13191)"
Metropolitan Area,15380,"Buffalo-Niagara Falls, NY","Erie County, NY (36029); Niagara County, NY (36063)"
Metropolitan Area,15500,"Burlington, NC","Alamance County, NC (37001)"
Metropolitan Area,15540,"Burlington-South Burlington, VT","Chittenden County, VT (50007); Franklin County, VT (50011); Grand Isle County, VT (50013)"
Metropolitan Area,15940,"Canton-Massillon, OH","Carroll County, OH (39019); Stark County, OH (39151)"
Metropolitan Area,15980,"Cape Coral-Fort Myers, FL","Lee County, FL (12071)"
Metropolitan Area,16020,"Cape Girardeau-Jackson, MO-IL","Alexander County, IL (17003); Bollinger County, MO (29017); Cape Girardeau County, MO (29031)"
Metropolitan Area,16180,"Carson City, NV","Carson City, NV (32510)"
Metropolitan Area,16220,"Casper, WY","Natrona County, WY (56025)"
Metropolitan Area,16300,"Cedar Rapids, IA","Benton County, IA (19011); Jones County, IA (19105); Linn County, IA (19113)"
Metropolitan Area,16580,"Champaign-Urbana, IL","Champaign County, IL (17019); Ford County, IL (17053); Piatt County, IL (17147)"
Metropolitan Area,16620,"Charleston, WV","Boone County, WV (54005); Clay County, WV (54015); Kanawha County, WV (54039); Lincoln County, WV (54043); Putnam County, WV (54079)"
Metropolitan Area,16700,"Charleston-North Charleston-Summerville, SC","Berkeley County, SC (45015); Charleston County, SC (45019); Dorchester County, SC (45035)"
Metropolitan Area,16740,"Charlotte-Gastonia-Rock Hill, NC-SC","Anson County, NC (37007); Cabarrus County, NC (37025); Gaston County, NC (37071); Mecklenburg County, NC (37119); Union County, NC (37179); York County, SC (45091)"
Metropolitan Area,16820,"Charlottesville, VA","Albemarle County, VA (51003); Fluvanna County, VA (51065); Greene County, VA (51079); Nelson County, VA (51125); Charlottesville city, VA (51540)"
Metropolitan Area,16860,"Chattanooga, TN-GA","Catoosa County, GA (13047); Dade County, GA (13083); Walker County, GA (13295); Hamilton County, TN (47065); Marion County, TN (47115); Sequatchie County, TN (47153)"
Metropolitan Area,16940,"Cheyenne, WY","Laramie County, WY (56021)"
Metropolitan Area,16980,"Chicago-Joliet-Naperville, IL-IN-WI","Cook County, IL (17031); DeKalb County, IL (17037); DuPage County, IL (17043); Grundy County, IL (17063); Kane County, IL (17089); Kendall County, IL (17093); Lake County, IL (17097); McHenry County, IL (17111); Will County, IL (17197); Jasper County, IN (18073); Lake County, IN (18089); Newton County, IN (18111); Porter County, IN (18127); Kenosha County, WI (55059)"
Metropolitan Area,17020,"Chico, CA","Butte County, CA (06007)"
Metropolitan Area,17140,"Cincinnati-Middletown, OH-KY-IN","Dearborn County, IN (18029); Franklin County, IN (18047); Ohio County, IN (18115); Boone County, KY (21015); Bracken County, KY (21023); Campbell County, KY (21037); Gallatin County, KY (21077); Grant County, KY (21081); Kenton County, KY (21117); Pendleton County, KY (21191); Brown County, OH (39015); Butler County, OH (39017); Clermont County, OH (39025); Hamilton County, OH (39061); Warren County, OH (39165)"
Metropolitan Area,17300,"Clarksville, TN-KY","Christian County, KY (21047); Trigg County, KY (21221); Montgomery County, TN (47125); Stewart County, TN (47161)"
Metropolitan Area,17420,"Cleveland, TN","Bradley County, TN (47011); Polk County, TN (47139)"
Metropolitan Area,17460,"Cleveland-Elyria-Mentor, OH","Cuyahoga County, OH (39035); Geauga County, OH (39055); Lake County, OH (39085); Lorain County, OH (39093); Medina County, OH (39103)"
